"Time","Line","tsNs","id","TraceID","_trace_id","compose_project","compose_service","container_name","filename","host","latitude","level","longitude","resource_service_name","service_name","source","span_id"
1727087278601,"2024-09-23 10:27:58,601 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278601844245,1727087278601844245_1dacf58f,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278579,"2024-09-23 10:27:58,578 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278579028102,1727087278579028102_9ef1a37c,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278563,"2024-09-23 10:27:58,563 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278563959120,1727087278563959120_4214ddd4,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278549,"2024-09-23 10:27:58,549 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278549406645,1727087278549406645_5e6f51f4,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278531,"2024-09-23 10:27:58,531 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278531889239,1727087278531889239_f9b3c855,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278517,"2024-09-23 10:27:58,517 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 401, 'size': '32', 'user_agent': 'python-httpx/0.27.0'}",1727087278517244366,1727087278517244366_7df39e36,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278501,"2024-09-23 10:27:58,501 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 401, 'size': '32', 'user_agent': 'python-httpx/0.27.0'}",1727087278501713850,1727087278501713850_7e17d753,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278487,"2024-09-23 10:27:58,486 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 200, 'size': '30', 'user_agent': 'python-httpx/0.27.0'}",1727087278487054911,1727087278487054911_21196366,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278471,"2024-09-23 10:27:58,471 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/forget_password', 'status': 200, 'size': '38', 'user_agent': 'python-httpx/0.27.0'}",1727087278471283924,1727087278471283924_d86a595e,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
1727087278456,"2024-09-23 10:27:58,456 - [Lat: 1.3521, Lon: 103.8198] - INFO [login-app] [main.py:115] [trace_id=0 span_id=0 resource.service.name=login-app] - Response - {'clientip': '192.168.0.1', 'method': 'POST', 'url': '/login', 'status': 401, 'size': '32', 'user_agent': 'python-httpx/0.27.0'}",1727087278456804707,1727087278456804707_f84a604e,0,0,fyp-cyberguard,login-app,fyp-cyberguard-login-app-1,/var/log/docker/386f468687068205a7f88ae6faf6cb83d08db4984d9eff55aecad4b2437c5663/json.log,docker-desktop,1.3521,info,103.8198,login-app],fyp-cyberguard-login-app-1,stderr,0
